song,relpitch_2gram,relpitch_3gram,relrhythm_2gram,relrhythm_3gram
NHSDiscography-022,0.9761673692588548,0.7268142856001681,0.9818045706338322,0.9722372641966753
NHSDiscography-023,0.9967924206281011,0.9832067038200593,0.99288009166344,0.9771164757663093
NHSDiscography-024,0.6462378116997245,0.4329414966623565,0.9021805774565121,0.6378776242363808
NHSDiscography-025,0.7952076686232246,0.4845055977624366,0.8957401921990327,0.6288715430014249
NHSDiscography-026,0.7674900810600075,0.7556473076674892,0.8684691885709781,0.6032393769355231
NHSDiscography-027,0.972985176240709,0.9081069932366304,0.9240285288963468,0.6980066543864454
NHSDiscography-028,0.9479066929835361,0.6812562647772598,0.9826797782562461,0.9775461437779008
NHSDiscography-029,0.5432917953215083,0.30302628016646516,0.8706838794003154,0.7102805672730256
NHSDiscography-030,0.7150088270973982,-0.030092757145250948,0.8233047908009717,0.7504233959635271
NHSDiscography-031,0.5404811900954172,0.38588964818985694,0.6010027229709298,0.751998736283743
NHSDiscography-032,0.9326303289007043,0.5260274386741047,0.5934336554174685,0.4188117801812453
NHSDiscography-033,0.9991120302217211,0.9962319580772347,0.9953992779289909,0.9680977238735684
NHSDiscography-034,0.993308238228509,0.9783180920500608,0.920699812238898,0.7673509199631217
NHSDiscography-035,0.671246363200364,-0.012726415890339515,0.896817105736074,0.847639879209972
NHSDiscography-036,0.9767508467440187,0.8086661156043915,0.9806740751770928,0.9845731643336046
NHSDiscography-037,0.6390261287291688,0.8687368557021834,0.8249049218390855,0.7197544635520055
NHSDiscography-038,0.8634663869565851,0.17877785846388394,0.768351918390701,0.5624035039406778
NHSDiscography-039,0.7671628113663865,0.2386064320804283,0.921199566644003,0.599238833588173
NHSDiscography-040,0.8684878028287404,0.4398051334612436,0.9031454162674879,0.4148804422664084
NHSDiscography-041,0.9008901133835598,0.7870988547709623,0.9517069579141666,0.6852150988313089
NHSDiscography-042,0.6646754632765923,0.18687011575168988,0.569733636610174,0.6535814332550203
NHSDiscography-043,0.6772926198882058,0.3249464089833205,0.35648024690451474,0.10201727086427725
NHSDiscography-044,0.8363950056514625,0.16834234346188814,0.9806420038578052,0.9273179506046203
NHSDiscography-045,0.9276512788833707,0.6062899135930057,0.9831417547074464,0.9585202148876809
NHSDiscography-046,0.912279289102718,0.6685019538915047,0.9899647961569835,0.9816233885702745
NHSDiscography-047,0.9208111395646622,0.495173745134444,0.9952979057923678,0.9885584601790529
NHSDiscography-048,0.643493160915239,0.5622370293626655,0.9370764462633173,0.5108152889733202
